1,Anime News Network,http://www.animenewsnetwork.com/all/rss.xml
1,MyAnimeList.net,http://myanimelist.net/rss.php?type=news
1,Crunchyroll,http://feeds.feedburner.com/crunchyroll/animenews
2,Autoblog,http://www.autoblog.com/rss.xml
2,Jalopnik,http://www.jalopnik.com/index.xml
2,The Truth About Cars,http://www.thetruthaboutcars.com/feed
2,Autoblog Green,http://www.autobloggreen.com/rss.xml
2,Top Gear Car News,http://rss.feedsportal.com/c/426/f/417510/index.rss
3,Engadget Gaming,http://www.engadget.com/tag/@gaming/rss.xml
3,Kotaku,http://feeds.gawker.com/kotaku/vip
3,IGN,http://feeds.ign.com/ign/all?format=xml
3,GameSpot,http://www.gamespot.com/feeds/mashup
3,GamesRadar,http://www.gamesradar.com/all-platforms/news/rss
4,Movies.com,http://www.movies.com/rss-feeds/movie-news-rss
4,Movie Web,http://feeds.movieweb.com/movieweb_news?format=xml
4,The Hollywood Reporter,http://feeds.feedburner.com/thr/film
5,CommitStrip,http://www.commitstrip.com/en/feed
5,Treehouse Blog,http://feeds.feedburner.com/teamtreehouse?format=xml
5,The Daily WTF,http://syndication.thedailywtf.com/TheDailyWtf
6,TechCruch,http://feeds.feedburner.com/TechCrunch/
6,The Verge,http://www.theverge.com/rss/index.xml
6,WIRED,http://www.wired.com/category/gear/feed
6,The Next Web,http://thenextweb.com/feed
6,ZDNet,http://www.zdnet.com/blog/rss.
7,Tinhte,http://www.tinhte.vn/rss
7,VnExpress,http://vnexpress.net/rss/tin-moi-nhat.rss
